Key,Description,English,Czech,Danish,German,Spanish,Finnish,French,Hindi,Hungarian,Italian,Japanese,Korean,Norwegian,Dutch,Polish,Portuguese,Portuguese (Brazil),Romanian,Russian,Slovak,Swedish,Turkish,Ukrainian,Chinese (Simplified),Chinese (Traditional)
,,en,cs,da,de,es,fi,fr,hi,hu,it,ja,ko,nb,nl,pl,pt,pt-br,ro,ru,sk,sv,tr,uk,zh-CN,zh-TW
ccl/car/stoker,"Control label, used in labels/driving UI (short)",Stoker,,,,,,,,,,,,,,,Fogueiro,,,,,,,,自动加煤机,
ccl/car/deflector,"Control label, used in labels/driving UI (short)",Deflector,,,,,,,,,,,,,,,Deflector,,,,,,,,挡烟板,
ccl/car/selector,"Control label, used in labels/driving UI (short)",Selector,,,,,,,,,,,,,,,Selector,,,,,,,,选择杆,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ccl/vc/techdesc/special/articulation,Vehicle with articulation features,Articulated,,,,,,,,,,,,,,,Articulado,,,,,,,,关节式,
ccl/vc/techdesc/specialized_equipment/steam_mech_stoker,,Steam-Powered Mechanical Stoker,,,,,,,,,,,,,,,Fogueiro Automático a Vapor,,,,,,,,蒸汽驱动机械自动加煤机,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ccl/comms/work_train_purchase_mode,Title in Comms Radio,CCL Work Trains,,,,,,,,,,,,,,,Comboios de serviço CCL,,,,,,,,CCL作业车,
ccl/comms/work_train_purchase_enter,Ask to enter mode,Enter shop?,,,,,,,,,,,,,,,Entrar?,,,,,,,,进入商店？,
ccl/comms/work_train_purchase_exit,Ask to exit mode,Exit shop?,,,,,,,,,,,,,,,Sair?,,,,,,,,离开商店？,
ccl/comms/no_work_train_available,Nothing to purchase,No work trains available for purchase,,,,,,,,,,,,,,,Sem comboios de serviço disponíveis,,,,,,,,没有可购买的作业车,
ccl/comms/car_purchase_prompt,Livery available for price,{[0]} is available for ${[1]},,,,,,,,,,,,,,,{[0]} está disponível por $ {[1]},,,,,,,,{[0]} ， 价格${[1]},
ccl/comms/purchase_confirm_prompt,Confirm price,Purchase for ${[0]}?,,,,,,,,,,,,,,,Comprar por $ {[0]}?,,,,,,,,花费${[0]}购买此车?,
ccl/comms/purchase_complete,Information after purchase,Purchase complete!,,,,,,,,,,,,,,,Compra concluída!,,,,,,,,购买完成！,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ccl/popups/work_train_warning,Warning about gadgets being lost upon clearing CCL work trains,"Congratulations on your first CCL work train purchase!\n\nDue to limitations, gadgets are lost when clearing these work trains, so please avoid doing so. Thank you for your understanding.",,,,,,,,,,,,,,,"Parabéns pelo seu primeiro comboio de serviço CCL!\n\nDevido a limitações, gadgets são perdidos quando estes comboios são removidos do mundo, portanto é recomendado não o fazer. Agradecemos a compreensão.",,,,,,,,恭喜购买首台CCL作业车！\n\n由于机制限制，装在此类车上的小仪器会在你清除此类车后直接丢失，所以尽量不要清除它们，感谢理解！,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ccl/tutorial/cond/requires_trainset,Tutorial condition for the trainset to be present,The entire trainset must be present.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ccl/car/tut/stoker,Control name,Stoker,,,,,,,,,,,,,,,,,,,,,,,,
ccl/car/tut/deflector,Control name,Deflector,,,,,,,,,,,,,,,,,,,,,,,,
ccl/car/tut/selector,Control name,Selector,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ccl/tutorial/control/stoker,Description of the control’s behaviour,This control uses steam to power a small engine that moves fuel into the firebox automatically.,,,,,,,,,,,,,,,,,,,,,,,,
ccl/tutorial/control/deflector,Description of the control’s behaviour,This control operates a deflector to reduce damage done by high-velocity exhaust to ceilings.,,,,,,,,,,,,,,,,,,,,,,,,
ccl/tutorial/control/selector,Description of the control’s behaviour,This control selects a mode of operation of another control from multiple options.,,,,,,,,,,,,,,,,,,,,,,,,
ccl/tutorial/control/selector_throttle_dynamic,Description of the control’s behaviour,This control swaps the mode of operation of the power control between throttle and dynamic breaking.,,,,,,,,,,,,,,,,,,,,,,,,
